id,id_поста,дата_поста,день_недели,количество_лайков,текст_поста
80,1128,2024-01-22 20:15:18,1,18,"Волейбольная дрим тим ) 
Ждём форму, чтобы быть на стиле 😉"
81,1112,2023-11-11 21:58:21,6,4,"Ролики с инсты добрались и до ВК 
Давно не был на стрельбах, пора бы съездить)"
82,1110,2023-10-28 02:34:57,6,23,[Текст отсутствует]
83,1109,2023-10-28 02:28:24,6,26,"Вот и подошел к концу очередной сезон, выполнили поставленный план, заняли 2-е место и вышли в 1-й дивизион
Казачок - это не просто коллектив, это уже настоящая семья ❤️🖤 дальше больше 😉
Один за всех и все за Казачок !)"
84,1105,2023-07-23 14:57:22,7,31,[Текст отсутствует]
85,1104,2023-07-23 13:12:54,7,13,"Нейросеть постаралась, какая самая лучшая 🤔"
86,1103,2023-07-10 19:43:13,1,14,"В это воскресенье была самая нестандартная  игра за последнее время, Лондонская атмосфера, ливень, лужи, дождь, море моментов, борьба на каждом участке поля и не закономерные нули на табло - одним словом необычный экспириенс 😄"
87,1102,2023-06-19 11:10:11,1,2,[Текст отсутствует]
91,1098,2023-05-01 01:28:42,1,14,"Выполнили цели на сезон, заняли 3 место и вышли во 2-й дивизион👌
Это тот случай, когда результат превзошел ожидания, которые в начале данного зимнего сезона были туманные, ушел генеральный спонсор, ключевые игроки, однако вера всегда жила, собрался молодой, перспективный, дружный коллектив, настоящая команда, целая семья. Полученный результат — заслуга всех причастных к проекту людей, их слаженная работа и стремление к развитию, к достижению поставленных целей. 
Ну и по классике нельзя закончить пост без данного, уже устойчивого выражения : 
«Один за всех и все за Казачок!» 
Дальше больше 😉"
92,1097,2023-04-30 12:40:34,7,4,"Второе произведение 😄
Смотрим и оцениваем 😉"
93,1094,2023-01-06 20:42:00,5,17,"Летопись ФК Казачок 2022 г. 
Футбол — это жизнь, бывают как взлеты, так и падения, в данном видео я постарался уместить все этапы становления клуба. Скажу только одно, я верю в дальнейшее развитие, к сожалению мы не можем заглянуть в будущее, однако мы можем его делать здесь и сейчас, в моменте. Один за всех - и все за Казачок! 
А как все сложится, покажет время, смотрим и кайфуем 😎 👇👇👇"
94,1092,2022-12-24 00:45:34,6,11,Вот времена были…
95,1090,2022-11-20 22:42:43,7,3,🤘🏻
